 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Ano/mês processamento e Unidade da Federação
Procedimento: 0410010090 PLASTICA MAMARIA RECONSTRUTIVA POS MASTECTOMIA C/ IMPLANTE DE PROTESE
Período:Jan/2008-Jul/2024
"Ano/mês processamento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2008";1;1;1;-;1;-;1;4;-;19;2;5;30;-;1;49;149;9;75;585;79;68;227;6;1;8;45;1367
"..Janeiro/2008";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;6;1;-;23;1;-;8;-;-;-;2;43
"..Fevereiro/2008";-;-;-;-;-;-;-;-;-;2;-;-;3;-;-;1;16;-;5;38;6;4;16;-;-;-;3;94
"..Março/2008";-;-;-;-;-;-;-;1;-;1;1;2;2;-;-;4;10;1;5;48;13;11;21;1;-;1;1;123
"..Abril/2008";-;-;-;-;1;-;-;-;-;1;-;-;4;-;-;1;13;1;5;39;4;4;21;-;-;1;7;102
"..Maio/2008";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;11;1;3;41;3;3;17;2;-;3;3;91
"..Junho/2008";-;-;-;-;-;-;-;-;-;3;-;-;3;-;-;4;24;-;10;51;6;4;15;-;-;1;1;122
"..Julho/2008";-;-;-;-;-;-;-;-;-;4;-;-;3;-;-;6;9;1;7;70;12;6;21;-;-;-;8;147
"..Agosto/2008";-;-;-;-;-;-;-;1;-;2;1;-;1;-;-;6;13;2;5;69;10;5;28;1;-;1;2;147
"..Setembro/2008";-;1;-;-;-;-;-;2;-;1;-;-;7;-;-;5;9;-;6;56;4;6;20;1;-;-;7;125
"..Outubro/2008";-;-;-;-;-;-;-;-;-;1;-;1;4;-;-;7;15;1;9;38;12;9;13;-;-;1;4;115
"..Novembro/2008";1;-;1;-;-;-;1;-;-;2;-;-;3;-;1;6;13;1;11;62;4;8;31;-;1;-;5;151
"..Dezembro/2008";-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;4;10;-;9;50;4;8;16;1;-;-;2;107
"2009";2;3;2;-;-;3;1;4;3;32;1;2;44;5;-;45;124;11;114;528;67;76;163;4;11;9;47;1301
"..Janeiro/2009";-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;4;5;2;7;31;3;5;15;1;1;-;1;77
